date,transaction_cost,ter_cost,cum_transaction_cost,cum_ter_cost
2008-07-29,0.0,4.920634920634921e-06,0.05040000000000001,0.004488095238095181
2008-07-30,0.0,4.920634920634921e-06,0.05040000000000001,0.004493015873015815
2008-07-31,0.0,4.920634920634921e-06,0.05040000000000001,0.00449793650793645
2008-08-01,0.0,4.920634920634921e-06,0.05040000000000001,0.0045028571428570845
2008-08-04,0.0,4.920634920634921e-06,0.05040000000000001,0.004507777777777719
2008-08-05,0.0,4.920634920634921e-06,0.05040000000000001,0.004512698412698354
2008-08-06,0.0,4.920634920634921e-06,0.05040000000000001,0.004517619047618988
2008-08-07,0.0,4.920634920634921e-06,0.05040000000000001,0.004522539682539623
2008-08-08,0.0,4.920634920634921e-06,0.05040000000000001,0.004527460317460257
2008-08-11,0.0012000000000000001,3.7301587301587305e-06,0.05160000000000001,0.004531190476190416
2008-08-12,0.0,3.7301587301587305e-06,0.05160000000000001,0.004534920634920575
2008-08-13,0.0,3.7301587301587305e-06,0.05160000000000001,0.004538650793650734
2008-08-14,0.0,3.7301587301587305e-06,0.05160000000000001,0.004542380952380892
2008-08-15,0.0,3.7301587301587305e-06,0.05160000000000001,0.004546111111111051
2008-08-18,0.0,3.7301587301587305e-06,0.05160000000000001,0.00454984126984121
2008-08-19,0.0,3.7301587301587305e-06,0.05160000000000001,0.004553571428571369
2008-08-20,0.0,3.7301587301587305e-06,0.05160000000000001,0.0045573015873015274
2008-08-21,0.0,3.7301587301587305e-06,0.05160000000000001,0.004561031746031686
2008-08-22,0.0,3.7301587301587305e-06,0.05160000000000001,0.004564761904761845
2008-08-25,0.0,3.7301587301587305e-06,0.05160000000000001,0.004568492063492004
2008-08-26,0.0,3.7301587301587305e-06,0.05160000000000001,0.0045722222222221625
2008-08-27,0.0,3.7301587301587305e-06,0.05160000000000001,0.004575952380952321
2008-08-28,0.0,3.7301587301587305e-06,0.05160000000000001,0.00457968253968248
2008-08-29,0.0,3.7301587301587305e-06,0.05160000000000001,0.004583412698412639
2008-09-02,0.0,3.7301587301587305e-06,0.05160000000000001,0.0045871428571427975
2008-09-03,0.0,3.7301587301587305e-06,0.05160000000000001,0.004590873015872956
2008-09-04,0.0,3.7301587301587305e-06,0.05160000000000001,0.004594603174603115
2008-09-05,0.0,3.7301587301587305e-06,0.05160000000000001,0.004598333333333274
2008-09-08,0.0,3.7301587301587305e-06,0.05160000000000001,0.0046020634920634325
2008-09-09,0.0,3.7301587301587305e-06,0.05160000000000001,0.004605793650793591
2008-09-10,0.0,3.7301587301587305e-06,0.05160000000000001,0.00460952380952375
2008-09-11,0.0,3.7301587301587305e-06,0.05160000000000001,0.004613253968253909
